Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Week,Quarter,Day,DayOfWeek,WeekendFlag,Festival_Flag,Festival_Name,Festival_Score,Days_To_Festival,Festival_Week,Festival_Month,Festival_Impact_Score,Pre_Festival_Flag,Post_Festival_Flag,Trend_Score,Mention_Count,Engagement_Rate,Sentiment_Score,Influencer_Promotion_Flag,Viral_Campaign_Flag,Lag_1,Lag_4,Lag_12,Rolling_Mean_4,Rolling_Std_4,Moving_Average_8,Festival_Trend,Festival_Sentiment,Trend_Engagement,Sales_Growth,Store_Avg_Sales,Store_Sales_Rank
1,2010-02-05,1643690.9,0,42.31,2.572,211.0963582,8.106,2010,2,5,1,5,4,0,0,Valentines_Day,0,9,0,0,21,0,0,30.12,5908,6.4,0.105,0,0,1643690.9,1643690.9,1643690.9,1576836.025,112353.41511397276,1522329.76,0.0,0.0,192.76800000000003,-0.0010546143438525668,1555264.3975524476,5220.0
1,2010-02-12,1641957.44,1,38.51,2.548,211.2421698,8.106,2010,2,6,1,12,4,0,1,Valentines_Day,6,2,6,2,34,1,0,56.02,6544,11.93,0.225,0,0,1643690.9,1643690.9,1643690.9,1576836.025,112353.41511397276,1522329.76,336.12,1.35,668.3186000000001,-0.0010546143438525668,1555264.3975524476,5220.0
1,2010-02-19,1611968.17,0,39.93,2.514,211.2891429,8.106,2010,2,7,1,19,4,0,1,Valentines_Day,6,5,6,2,31,0,1,59.49,10060,11.47,0.994,1,0,1641957.44,1643690.9,1643690.9,1576836.025,112353.41511397276,1522329.76,356.94,5.964,682.3503000000001,-0.01826434063966975,1555264.3975524476,5220.0
1,2010-02-26,1409727.59,0,46.63,2.561,211.3196429,8.106,2010,2,8,1,26,4,0,1,Holi,8,3,9,3,35,1,0,71.22,11999,15.74,0.818,1,0,1611968.17,1643690.9,1643690.9,1576836.025,112353.41511397276,1522329.76,569.76,6.544,1121.0028,-0.1254618942010498,1555264.3975524476,5220.0
1,2010-03-05,1554806.68,0,46.5,2.625,211.3501429,8.106,2010,3,9,1,5,4,0,1,Holi,8,4,9,3,34,0,1,64.28,9335,14.37,0.632,1,0,1409727.59,1643690.9,1643690.9,1554614.9699999997,103135.00254832554,1522329.76,514.24,5.056,923.7035999999999,0.1029128542486708,1555264.3975524476,5220.0
1,2010-03-12,1439541.59,0,57.79,2.667,211.3806429,8.106,2010,3,10,1,12,4,0,0,Easter,0,11,0,0,19,0,0,24.4,3762,4.77,-0.039,0,0,1554806.68,1641957.44,1643690.9,1504011.0075,95360.05083899511,1522329.76,0.0,-0.0,116.38799999999998,-0.07413467634445703,1555264.3975524476,5220.0
1,2010-03-19,1472515.79,0,54.58,2.72,211.215635,8.106,2010,3,11,1,19,4,0,0,Easter,0,16,0,0,14,0,0,33.52,7554,6.17,0.43,0,0,1439541.59,1611968.17,1643690.9,1469147.9125,62599.4571500743,1522329.76,0.0,0.0,206.81840000000003,0.0229060419157463,1555264.3975524476,5220.0
1,2010-03-26,1404429.92,0,51.45,2.732,211.0180424,8.106,2010,3,12,1,26,4,0,0,Easter,0,9,0,0,21,0,0,28.87,6326,5.09,-0.239,0,0,1472515.79,1409727.59,1643690.9,1467823.495,64308.38101632066,1522329.76,0.0,-0.0,146.9483,-0.04623778601382611,1555264.3975524476,5220.0
1,2010-04-02,1594968.28,0,62.27,2.719,210.8204499,7.808,2010,4,13,2,2,4,0,1,Easter,6,2,13,4,34,1,0,53.92,6923,11.47,0.708,1,0,1404429.92,1554806.68,1643690.9,1477863.895,82871.76229599727,1516239.4324999999,323.52,4.247999999999999,618.4624,0.13566953913941115,1555264.3975524476,5220.0
1,2010-04-09,1545418.53,0,65.86,2.77,210.6228574,7.808,2010,4,14,2,9,4,0,1,Easter,6,5,13,4,31,0,1,58.27,8343,12.12,0.575,1,0,1594968.28,1439541.59,1643690.9,1504333.13,83458.04335445474,1504172.06875,349.62,3.4499999999999997,706.2324,-0.03106629180111342,1555264.3975524476,5220.0
