Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Week,Quarter,Day,DayOfWeek,WeekendFlag,Festival_Flag,Festival_Name,Festival_Score,Days_To_Festival,Festival_Week,Festival_Month,Festival_Impact_Score,Pre_Festival_Flag,Post_Festival_Flag,Trend_Score,Mention_Count,Engagement_Rate,Sentiment_Score,Influencer_Promotion_Flag,Viral_Campaign_Flag
1,2010-02-05,1643690.9,0,42.31,2.572,211.0963582,8.106,2010,2,5,1,5,4,0,0,,0,9,0,0,21,0,0,30.12,5908,6.4,0.105,0,0
1,2010-02-12,1641957.44,1,38.51,2.548,211.2421698,8.106,2010,2,6,1,12,4,0,1,Valentines_Day,6,2,6,2,34,1,0,56.02,6544,11.93,0.225,0,0
1,2010-02-19,1611968.17,0,39.93,2.514,211.2891429,8.106,2010,2,7,1,19,4,0,1,Valentines_Day,6,5,6,2,31,0,1,59.49,10060,11.47,0.994,1,0
1,2010-02-26,1409727.59,0,46.63,2.561,211.3196429,8.106,2010,2,8,1,26,4,0,1,Holi,8,3,9,3,35,1,0,71.22,11999,15.74,0.818,1,0
1,2010-03-05,1554806.68,0,46.5,2.625,211.3501429,8.106,2010,3,9,1,5,4,0,1,Holi,8,4,9,3,34,0,1,64.28,9335,14.37,0.632,1,0
1,2010-03-12,1439541.59,0,57.79,2.667,211.3806429,8.106,2010,3,10,1,12,4,0,0,,0,11,0,0,19,0,0,24.4,3762,4.77,-0.039,0,0
1,2010-03-19,1472515.79,0,54.58,2.72,211.215635,8.106,2010,3,11,1,19,4,0,0,,0,16,0,0,14,0,0,33.52,7554,6.17,0.43,0,0
1,2010-03-26,1404429.92,0,51.45,2.732,211.0180424,8.106,2010,3,12,1,26,4,0,0,,0,9,0,0,21,0,0,28.87,6326,5.09,-0.239,0,0
1,2010-04-02,1594968.28,0,62.27,2.719,210.8204499,7.808,2010,4,13,2,2,4,0,1,Easter,6,2,13,4,34,1,0,53.92,6923,11.47,0.708,1,0
1,2010-04-09,1545418.53,0,65.86,2.77,210.6228574,7.808,2010,4,14,2,9,4,0,1,Easter,6,5,13,4,31,0,1,58.27,8343,12.12,0.575,1,0
1,2010-04-16,1466058.28,0,66.32,2.808,210.4887,7.808,2010,4,15,2,16,4,0,0,,0,12,0,0,18,0,0,23.58,3420,5.12,0.497,0,0
1,2010-04-23,1391256.12,0,64.84,2.795,210.4391228,7.808,2010,4,16,2,23,4,0,0,,0,19,0,0,11,0,0,22.77,5315,7.41,-0.508,1,0
1,2010-04-30,1425100.71,0,67.41,2.78,210.3895456,7.808,2010,4,17,2,30,4,0,0,,0,26,0,0,4,0,0,26.55,3495,5.58,-0.076,0,0
1,2010-05-07,1603955.12,0,72.55,2.835,210.3399684,7.808,2010,5,18,2,7,4,0,0,,0,33,0,0,0,0,0,18.05,6080,4.62,-0.1,0,0
1,2010-05-14,1494251.5,0,74.78,2.854,210.3374261,7.808,2010,5,19,2,14,4,0,0,,0,40,0,0,0,0,0,17.79,4575,4.19,-0.135,0,0
1,2010-05-21,1399662.07,0,76.44,2.826,210.6170934,7.808,2010,5,20,2,21,4,0,0,,0,44,0,0,0,0,0,22.39,2973,7.22,0.328,0,0
