Feature,Importance
Rolling_Mean_4,336698.84
Lag_1,71234.22
Sales_Growth,51929.6
Moving_Average_8,47190.742
Store_Avg_Sales,30580.281
Rolling_Std_4,5708.9297
Day,4784.192
Festival_Name_Christmas,2532.3455
Store_Sales_Rank,2220.09
Lag_4,1770.8469
Week,1594.6597
Festival_Week,1581.789
Festival_Month,1580.5338
Month,1505.8951
Trend_Score,1232.1086
Days_To_Festival,1222.0135
Lag_12,1124.717
Festival_Impact_Score,749.50146
Store,716.34296
Temperature,676.7475
Fuel_Price,588.9662
Festival_Score,582.0338
CPI,534.2693
Engagement_Rate,527.7932
Festival_Name_Valentines_Day,520.3092
Mention_Count,462.89703
Unemployment,459.94452
Festival_Name_Holi,451.91916
Sentiment_Score,414.92612
Trend_Engagement,387.46326
Festival_Trend,309.78128
Festival_Name_New_Year,282.36884
Festival_Name_Easter,266.3912
Holiday_Flag,212.95982
Festival_Sentiment,158.55539
Year,104.8341
Influencer_Promotion_Flag,87.34971
Festival_Name_Raksha_Bandhan,84.64526
Pre_Festival_Flag,66.13894
Quarter,54.864986
Festival_Name_Independence_Day,47.81745
Festival_Name_Dussehra,46.991154
Festival_Name_Ganesh_Chaturthi,44.19099
Festival_Name_Labor_Day,41.910572
Festival_Flag,39.226814
Festival_Name_Janmashtami,36.70399
Post_Festival_Flag,35.04102
Festival_Name_Diwali,27.54164
Festival_Name_Halloween,8.241368
Viral_Campaign_Flag,5.7537646
WeekendFlag,0.0
DayOfWeek,0.0
